layer,neuron,score,explanation
2,1418,0.821526095,"instances of the word ""fill"" and its variations."
2,212,0.619244307,words and phrases related to energy resources and industries.
2,1463,0.630624128, words related to liquid or moisture.
2,602,0.362205715, proper names of people and related words.
2,932,0.779010647, words related to a sour taste or sensation.
2,1693,0.605903518,words related to ceremonial and religious practices.
2,269,0.833706634," words and phrases related to emotions, specifically anxiety or insistence."
2,1682,0.504695528," words related to places of shelter, protection, and confinement."
2,234,0.683215899, the name 'Nathan' and variations of it.
2,1100,0.614790363,adjectives related to extravagance or elegance.
2,153,0.708169413, words related to the action of entering or entry points.
3,341,0.756534937,"last names, specifically ""Marsh."""
3,1164,0.681327307,"words related to booths, stands and tables in various settings."
3,1421,0.538247025,words and phrases related to accidental events or situations.
3,1302,0.696222025," words related to media, specifically podcasts and television shows."
3,1571,0.411563407, words and phrases related to documents and records.
3,927,0.379550573, words related to force or pressure.
3,1036,0.439451987,"keywords related to gaming, particularly game elements and attributes."
3,1585,0.415026961,"words related to specialized fields, expertise, or units."
3,228,0.618791954, words related to level of importance.
3,1603,0.751224837,"names of places, specifically related to the city of Buffalo."
3,782,0.604967697," numbers, especially those in percentages and ages."
3,1454,0.459270277,"variations of the name ""Phil"" and related words in the context."
3,1228,0.528533939,words related to academia and educational institutions.
3,980,0.606233174, words related to commitment and loyalty.
3,1261,0.465131011," words and phrases related to religious and spiritual roles, activities, and organizations."
3,1878,0.433294979," words related to primary, main, or significant elements or topics."
3,1649,0.773489432," words related to something being special or highlighted, such as ""featured"" or ""feature."""
3,937,0.367650198,"technical terms related to materials, specific dimensions, and mechanical parts."
3,110,0.758635034," words related to combining, compressing, or compiling elements."
3,1310,0.557739081,"verbs and nouns related to processes or actions being stopped, delayed, or temporarily suspended."
4,232,0.487255975," words related to fictional characters, objects, or actions."
4,942,0.664822351,words and phrases related to burial and tombs.
4,616,0.49793009,proper nouns related to sports figures and teams.
4,551,0.440063004, words related to various types of sweets and candies.
4,1794,0.40928018,scientific and technical terminology.
4,1843,0.442969484," words and phrases related to religion, spirituality, and supernatural events."
4,1474,0.491613015, words related to visibility and distinctiveness.
4,554,0.85684391,words related to limits and caps.
4,706,0.517300935,"words related to learning, teaching, and skills."
4,1447,0.704379637,words related to trust and reliability.
4,1137,0.664096131,words and phrases related to applying force or pressure.
4,647,0.626864879,"legal and regulatory terms, focused on restrictions and punitive actions."
4,1091,0.651191933," words and symbols emphasizing something being direct, clear or absolute."
4,1734,0.581309058,adjectives that describe a strong emotional attachment or commitment.
4,1398,0.426747278,technical terms related to computer components and hardware.
4,1288,0.380054218, proper names of people and acronyms.
4,563,0.571881237," time-related phrases, especially involving 'years' and 'ago'."
4,32,0.514859248, words and phrases related to ethnic groups and geopolitical regional identities.
4,236,0.376559295,words related to sensory experiences and enjoyment aspects.
4,1611,0.623942818," words related to layers, shades, and shadows."
5,1086,0.427478241, words related to geographical locations and nationalities.
5,430,0.680225271, words related to importance and significance.
5,1289,0.366873082,names and terms related to specific historical and political figures or events.
5,1589,0.664000101,names and keywords related to football (soccer) clubs and players.
5,632,0.425864354,"units of measurement, particularly related to dimensions and sizes."
5,1407,0.627875114,verbs related to making choices or decisions.
5,1714,0.587504777,words related to freedom and openness.
5,2,0.551993765," names and part of names, especially ones containing 'z' or 'ij'."
5,1206,0.505325374, words related to conspiracy theories and misunderstanding.
5,262,0.560547905, last names of people mentioned in the text.
5,1726,0.526871793,words and phrases related to computer technology and processing.
5,34,0.462147234, website and online community-related terms.
5,1813,0.677636374,"occurrences of the word ""container."""
5,535,0.370589886,featured elements or parts of objects or concepts.
5,321,0.385681502, last names or proper nouns.
5,1445,0.699211906,"instances of the word ""daily"" and related numeric or descriptive context."
5,847,0.353960119,"abbreviations, acronyms, and numbers related to organizations and locations."
5,1619,0.472352,verbs and action indicators related to observing or perceiving.
5,178,0.583338726, words related to summarizing findings or conclusions.
5,1472,0.611588048, parts of a word associated with shells or hard encasements.
6,486,0.473242488, words related to fluidity and motion.
6,286,0.386349428,words related to destruction and damage.
6,1770,0.637079896,"instances of the word ""counter"" and related variations."
6,1116,0.446860322,"craft-related terms, particularly those related to knitting and crochet techniques."
6,1546,0.474929425,financial and investment-related terms.
6,1314,0.41971034,words and phrases related to linguistic terminology and grammar.
6,1201,0.389747874,"dates, times, and references to specific events or postings."
6,844,0.442394996,locations and place names.
6,1455,0.619442527, gender-specific pronouns such as 'her' and 'him'.
6,1658,0.533089111,adjectives describing size and quality.
6,1634,0.376585138, segments of words or word parts that include 'org'.
6,1369,0.41309379, words related to releasing or making something available.
6,1841,0.5373836,words related to creation or change.
6,749,0.411313089, proper names and related terms.
6,950,0.863039487," instances of the word ""absolutely"" and adjectives associated with arts or modernity."
6,1722,0.39756266, pronouns and their related contractions.
6,968,0.444426366, words and short phrases related to countries or political entities.
6,288,0.490062025, occurrences of the prefix 'Mc' and related words.
6,489,0.752726059, occurrences of the syllable 'ote'.
6,197,0.544605919, words denoting permanence or lasting effects.
7,691,0.562743578,"closing symbols such as parenthesis, braces, and square brackets."
7,1526,0.428788891, words related to safety and security.
7,1604,0.55053039, words related to users or living beings within a context.
7,1652,0.649612827," occurrences of prepositions following French gendered articles (e.g., du, des, de)."
7,671,0.728184699,"parts of words, especially those containing the ""ill"" or ""ail"" sound."
7,1885,0.481167972, terminology related to technology and hardware.
7,820,0.599425919,words related to precious metals and points of activity or important events.
7,1782,0.45819564," words related to law, lobbying, and regulations."
7,1381,0.380793711,words related to technology and regulations.
7,65,0.408480849, web addresses and related elements.
7,1876,0.557916454, occurrences of the syllable 'pol' in words.
7,920,0.402860207," words with a phonetic emphasis on specific letter combinations like ""ora"", ""ura"", and ""ose""."
7,538,0.793050021,words related to fire and heat.
7,569,0.711820769,words related to injecting or insertion.
7,1129,0.524248523,"food ingredients, cooking processes, and kitchen tools."
7,749,0.624421371," words related to crafting processes and materials, especially involving yarn and stitches."
7,1756,0.467200239,words and phrases related to positive actions or qualities.
7,1249,0.534520012, words related to relationships and connections between people.
7,1113,0.864782611, words related to seriousness and importance.
7,1095,0.655025553," ""or not"" phrases indicating uncertainty or alternate possibilities."
8,1716,0.466569947,verbs related to performing an action or process.
8,295,0.41381209,"comma placement or conjunctions in sentences, especially before additional information or explanations."
8,259,0.431214017,words related to cooking and food preparation.
8,1158,0.564906915, verbs and phrases related to communication and discussion.
8,1741,0.448256661, words related to storing or saving items or information.
8,345,0.534289529,words related to atmospheric conditions and air movements.
8,116,0.759886082,verbs related to selection or usage of items.
8,1009,0.358504306," words with ""-tion"" or ""-sion"" endings, or words containing ""ore"" or ""as""."
8,1531,0.468994849," words related to business, licensing, and specific locations."
8,1529,0.686471281, words related to the process of acquiring or purchasing something.
8,799,0.52099017,verbs and verb phrases related to remembering or recalling information.
8,767,0.744454427,words that indicate something being done or made known in public.
8,651,0.373045241,directional or spatial words.
8,504,0.381610017, occurrences of the letter combination 'Sy/sy' in various capitalization forms.
8,1030,0.391389385," units of measurement, particularly related to size or length."
8,1906,0.53768439," words and phrases related to policy, regulations, and legal issues."
8,1862,0.444856272,words related to recreational areas and establishments.
8,1827,0.543451737,"names and titles of games, products, and services."
8,1064,0.481924375,"words related to providing, sharing or connecting information in various contexts."
8,1128,0.720851477,"words related to energy, power, and temperature."
9,1721,0.522873445," technology-related terms, specifically involving Google and internet-based information."
9,563,0.353784577, acronyms and names of organizations or companies.
9,447,0.43197858,parenthesis and related punctuation symbols.
9,704,0.364864132," numbers, hyphens, and related symbols."
9,1835,0.550758172, words containing 'Barn' or words with similar endings.
9,983,0.377707091, numbers or numeric symbols in a text.
9,433,0.36288309,"suffixes related to adjectives and adverbs when describing intensity or comparisons, along with superlative forms."
9,1710,0.419440347, words related to printing and writing.
9,871,0.509612438, acronyms or abbreviation patterns in text.
9,656,0.551778242,"instances related to time and periods, especially modern-day or present-time phrases."
9,1776,0.493825212, words related to restriction or control.
9,1424,0.505487842," references to children, kids, and youth-related terms."
9,1100,0.377599463,"words or short phrases related to specific organizations, groups, or places."
9,850,0.361971111," quotes and punctuation associated with quotes, along with words inside or near the quotes."
9,392,0.667713214, words related to temperature and warmth.
9,1249,0.424988887,words or phrases related to different sectors or industries.
9,364,0.563441838,phrases related to relationships or interaction between individuals or groups.
9,1017,0.709433454," occurrences of the word ""up"" and related phrases."
9,1548,0.436725768, expressions of understanding and empathy in different situations.
9,285,0.458967654, words and phrases related to visibility or obscurity.
10,1142,0.489867024, words and phrases related to the process of combining or merging elements.
10,1704,0.351455397,words and phrases related to interest and curiosity.
10,962,0.549746305, last names of people.
10,1480,0.592114241, expressions of agreement and apology.
10,99,0.438892386, words related to alternatives or contrasts.
10,637,0.368783808, numerical values and abbreviations.
10,1712,0.495059286," words related to starting a statement, especially transitional words or phrases."
10,1234,0.359626566, words or phrases related to distance or remoteness.
10,1615,0.533329681, compound words and multi-word phrases which form a single concept.
10,511,0.450970926, words related to Asian country names and their variations.
10,335,0.472422451, expressions of thinking or feeling.
10,1257,0.398767181,parts of words or names with a strong 'ick' sound or pattern.
10,544,0.417383016, nouns related to physical objects.
10,529,0.692204145, words and phrases related to music and pop culture.
10,1717,0.421745034,sequences of numbers and numerical values.
10,1465,0.677602398, words related to compatibility and fitting in.
10,1287,0.51982076, parts of words that include the letters 'ar'.
10,1549,0.561198106," words with the letter combination ""be""."
10,295,0.410236889,words related to Islamic terminology.
10,1520,0.480074258,verbs related to creation or coordination of creative projects.
11,764,0.566717062,"'intensifiers' like ""so"" and sometimes associated text."
11,915,0.697433958," instances of the word ""have"" preceded or followed by contractions like ""'ve"" or ""not""."
11,1442,0.422400967, words related to finance and production.
11,1384,0.497011393, words and phrases indicating frequency or occurrence.
11,1082,0.387743411, words related to captions in text documents.
11,1550,0.353361427, word parts related to activities or processes.
11,1361,0.395952403,words related to physical orientation or position.
11,1692,0.443794475," phrases that compare or show emphasis, particularly using 'just' and 'more than'."
11,62,0.469029203, hyphenated and compound words or phrases.
11,1880,0.713001156,verbs related to surpassing or exceeding something.
11,1501,0.407976634,words with the suffix 'ize' or 'ise' and instances of the word 'labor'.
11,1051,0.37581502,names of software and technology products.
11,102,0.768316473,"occurrences of the phrase ""very"" with surrounding words."
11,583,0.47030041, names of political figures.
11,383,0.600898382,"prepositions and connecting words that indicate conditions, alternatives, or exceptions."
11,597,0.699068198, expressions of excitement and enthusiasm.
11,1248,0.479388678, words related to financial contributions or support.
11,1195,0.402166413,words related to natural elements or substances.
11,1391,0.438248316," words related to precision, clarity, and determination."
11,1612,0.707733882,legal terms and references to court proceedings.
12,1285,0.617846072, company names and related terms.
12,30,0.530953167," phrases starting with ""On top of"" or variations in the strength of the connection."
12,953,0.448020368," abbreviations or parts of abbreviations, especially related to media names and stations."
12,1143,0.565656343, phrases related to taking breaks or time off.
12,1698,0.425666539," words related to supply, demand, and production."
12,349,0.512505057,words and phrases implying disarray or complexity.
12,47,0.370180928,descriptions related to pathways or movement.
12,1186,0.365167212,verbs related to inserting or attaching.
12,178,0.381140048, numerical values or numbers within the text.
12,1989,0.791711566,honorific titles or salutations.
12,1287,0.401540983, numbers followed by units of time.
12,455,0.520072844," abbreviations and single letters, particularly related to organizations and names."
12,823,0.547510217, conjunctions and question words introducing reasons or explanations.
12,242,0.491495095," words indicating measurements, quantity, or components in lists or recipes."
12,697,0.533030126," words related to document components, such as notes and bills."
12,1449,0.463646098, names and titles of people.
12,1785,0.567942118,words related to caring and safety.
12,589,0.361414996, geographic locations and abbreviations.
12,436,0.521511492, parts of URLs and technical terms.
12,426,0.53883594, geographic locations and proper nouns related to places.
13,749,0.379100461, parts of words related to chemical substances.
13,346,0.670660045," words expressing an unexpected or surprising situation, often with the word ""enough"" attached."
13,56,0.458893459, words related to series or sequences of events.
13,1259,0.878779652, the word 'either' in the text.
13,336,0.46484344,words related to branding and marketing.
13,212,0.582214587, contrast markers for comparison or exception.
13,1676,0.355108805," verbs or phrases related to asking, pointing, or directing attention."
13,978,0.390394667, phrases indicating desire or wanting something.
13,1645,0.414088382, phrases related to relationships and commitment.
13,1555,0.42689586, numbers or numerical values.
13,1732,0.452596669, nouns related to quantities and counting.
13,1536,0.515954333,verbs ending in 'ing'.
13,763,0.541730922,"the verb ""steal"" and related words."
13,42,0.38766216, phrases related to having an opportunity or experience.
13,1395,0.35576106," positive expressions or adjectives displaying recommendation, enthusiasm, or satisfaction."
13,169,0.429269939, words and phrases related to guidance and instructions.
13,460,0.52774399,"numbers, quantities, and measurements."
13,1881,0.427625529, prepositions and conjunctions related to exceptions or contrasts.
13,1124,0.365354873, geographical locations and place names.
13,1086,0.477573388, words with double letter 'l' (ll).
14,585,0.498360825," parts of compound words or names, especially related to characters or creatures."
14,866,0.371452042, parts of phrases related to gratitude or appreciation.
14,416,0.890008457,words related to feedback or comments.
14,440,0.365609664,words related to authority figures or professional titles.
14,1815,0.365777886, words related to connection or transition.
14,297,0.375611577, words that end in 'ing'.
14,92,0.507567946, numbers and associated units or symbols.
14,598,0.40072599, words and phrases related to different situations and positions in various contexts.
14,1487,0.385907719," words and phrases related to crime, accidents, and negative events."
14,1363,0.52175776, words related to inappropriate or invasive actions.
14,1413,0.612706275, words and phrases related to anticipation or waiting.
14,1124,0.39394168, prepositions denoting physical or emotional closeness.
14,1837,0.367744564, words and phrases related to historical events or past track records.
14,623,0.49651325,words and phrases related to groups or pairs of things or people.
14,1773,0.449974676," abbreviations, acronyms, and numerical values related to speed."
14,572,0.62672474, parts of chemical compound names and scientific terms.
14,765,0.478321546, actions and processes related to formal documentation and verification.
14,1569,0.461371646, names and abbreviations related to technology and operating systems.
14,1360,0.409208608,actions and movements in sports-related contexts.
14,1288,0.365759285, directional words and phrases related to movement or position.
15,1944,0.39977614, prepositions indicating a relationship between people and their positions or roles.
15,1147,0.366750558," verb phrases, often associated with actions or movements."
15,1455,0.431743776,"legal terms and situations related to crime, enforcement, and consequences."
15,82,0.557365058, phrases indicating possession or control.
15,519,0.420794166," specific product, game, or technology names."
15,1813,0.450670052,"words related to carrying, handling or processing of objects."
15,785,0.365160857, street and location names.
15,381,0.455289499,"words related to joining or participating in activities, groups, or processes."
15,981,0.420752142, words related to nationalities and occupations.
15,975,0.446066583, words and phrases related to age and family members.
15,1882,0.680025926," relative pronouns, such as 'who' and 'whose', and words that indicate relationships or connections."
15,1757,0.533695558, expressions related to conditional situations or cause and effect.
15,137,0.725274927, phrases related to entering or exiting a location.
15,1355,0.768480721, phrases related to asking questions.
15,972,0.412727515,"adjectives describing dedication, loyalty, or duration."
15,1623,0.392765836, nouns or adjectives related to production or origin.
15,1814,0.454302697, expressions of caution or fear.
15,268,0.475766846,participles or gerunds related to various actions or processes.
15,1369,0.560177923," specific events with a focus on orders, invitations, and announcements."
15,1350,0.381844312,verbs related to movement or change in position.
16,758,0.462358541, possessive forms of nouns and hyphenated words.
16,317,0.452953195," occurrences of the word ""this"" and its related context."
16,530,0.451129916," pairs of capitalized letters in proper names, acronyms, or initials."
16,519,0.372883277, verb and action words related to the concept of selling or obtaining something.
16,1745,0.453229211,"words related to work, jobs, and economic activity."
16,1117,0.366960219, words related to restriction or confinement.
16,1924,0.38940917," words and phrases related to endings, climactic moments, and resolutions."
16,318,0.352284189, sequences of numbers.
16,196,0.404705522," words and phrases related to security, assurance, and certainty."
16,976,0.537135394, phrases related to starting or beginning something.
16,1103,0.417020777, scientific terms and methods related to data analysis and measurement.
16,651,0.437976762," instances of the preposition ""by"" and its surrounding words."
16,1911,0.559558062," prepositions indicating collaboration, partnership, or association."
16,1964,0.358742434," words related to value, monetary amounts, and rankings."
16,689,0.393138627, website URLs and social media handles.
16,602,0.477031379, beginning words or punctuation of questions and statements.
16,1182,0.664618003," numerical values and occasional single letters, mostly focusing on numbers within a specific range."
16,1680,0.671270033, words and phrases related to reducing intensity or controlling behavior.
16,590,0.703762159, phrases related to physical closeness and hands-on experiences.
16,1754,0.47159539, possessive pronouns.
17,1947,0.557789849," words and phrases related to modification, adjustments, and adjectives that describe processes of change."
17,1684,0.4580063,"technical terms related to graphics, surfaces, and image rendering."
17,1594,0.382906406, family relationships and personal connections.
17,952,0.504709792, words representing concepts of ease or simplicity.
17,16,0.350066493, misspelled or abbreviated words and informal language.
17,815,0.638419935, words related to membership and group participation.
17,1546,0.699709056," words related to insects, specifically flies."
17,1270,0.3967605,programming-related terms and variables.
17,623,0.524542279, expressions indicating possession or belonging.
17,568,0.463675576, interview settings or contexts.
17,137,0.509067888," words related to magic, spellcasting, and supernatural powers."
17,595,0.704817068, instances of the number '3' and its ordinal form '3rd'.
17,1331,0.350200124," numerical values, percentages, and their surrounding context."
17,111,0.439419882,words and phrases related to altered mental states or conditions.
17,1272,0.386541448,adjectives and adverbs describing speed and ease.
17,1685,0.357992663,"words with 'ly' endings, especially adverbs."
17,1788,0.620710761,brand names and associated products.
17,1412,0.356559999,words related to analyzing and addressing a situation or problem.
17,1593,0.379400082, possessive pronouns and their variations.
17,1913,0.625021065," the syllable ""oh"" appearing within words."
18,1538,0.372746656, words and phrases indicating emphasis or contradiction.
18,1766,0.464434221," the word ""of"" and related prepositions in various contexts."
18,417,0.57618982," words related to locations, particularly establishments or places."
18,1309,0.763589285," comparative words, particularly related to difficulty or intensity."
18,1019,0.416034985," adverbs that intensify, modify or describe the degree of an action or quality."
18,1754,0.561673511, words related to newness or freshness.
18,493,0.652464619, words related to hobbies and leisure activities.
18,1566,0.360901673," terms related to game abilities, powers, and casting."
18,1828,0.435538619, words and phrases related to body parts or physical aspects.
18,157,0.467189432,"the preposition ""by"" and its variations in context."
18,296,0.590032551,gestures and expressions indicating a dismissal or indifference.
18,792,0.445320248, specific date and time references.
18,66,0.447769377, phrases related to moving forward or progressing.
18,1879,0.699851734, references to Scotland and Scottish people.
18,566,0.372671493, parts of names or sports-related player names.
18,957,0.419911593," relationships between words, focusing on connecting words or phrases and colons."
18,1474,0.363631804, phrases indicating agreement or alliance.
18,1726,0.467747111, contractions related to negation.
18,1742,0.585867248, numbers or numeric expressions.
18,1572,0.475562651, words and phrases related to choices or decisions.
19,648,0.681157585, words related to projects and organizational structures.
19,305,0.441311562, phrases related to expressing personal opinions or preferences.
19,1686,0.383125958," phrases related to anniversaries, dates, and events."
19,453,0.437639664, nouns related to objects or items.
19,400,0.361642264, occurrences of the letter 'm' along with occasional connected words or letters.
19,721,0.412682564, phrases relating to future events or transitioning from one state to another.
19,551,0.381293134," conditional phrases that involve an action, request or demand."
19,1711,0.586377975, words related to completion or reaching an end.
19,1352,0.39063513,strong emotional words or expressions.
19,1188,0.372636205, phrases related to the passage of time or time-related concepts.
19,808,0.396740351, words and phrases related to repetition and multiple occurrences.
19,1565,0.448582157,words and phrases related to appearance and visual observations.
19,1505,0.503270298, words related to plants and gardening.
19,864,0.527436699,references to military and war-related terms or events.
19,1013,0.430210628," instances of the word ""but"" and related contractions like ""isn't""."
19,1131,0.360783409, phrases that express negation or contrast.
19,1486,0.396078571, instances of uncertainty or doubt.
19,783,0.554378114,position titles and related terms.
19,1678,0.376922196," words related to locations, particularly streets and highways."
19,1133,0.825628809,"words related to writing, reading, and texts."
20,1412,0.469410872, words related to fitness and sports facilities.
20,1095,0.375077764,phrases related to things that are not extreme or in moderation.
20,772,0.506243467, references to seasons or episodes of a series or occurrence.
20,373,0.519295433,words and phrases related to targeted actions or intentions.
20,1344,0.533095855, phrases related to doing or trying everything.
20,1928,0.558819119," job titles or roles, especially related to law enforcement or local authorities."
20,1017,0.773318076,adjectives with the suffix 'free'.
20,108,0.493368431, words and phrases related to daily occurrences and events.
20,1211,0.406712993," adjectives and adverbs describing a person's attitude, disposition, or personality."
20,1381,0.396564423, gerunds or words ending in 'ing' related to actions and processes.
20,1379,0.612156075,words related to news and media coverage.
20,1128,0.523323002, specific nouns and adjectives related to objects and materials.
20,159,0.502540003, words and phrases related to taste or perception.
20,1517,0.503170258," phrases related to motion, movement, or travel."
20,1695,0.47292365, nouns related to creative professions and activities.
20,933,0.378593071, compound words and hyphenated phrases.
20,1096,0.432939284, expressions related to opinions and personal preferences.
20,1430,0.453431935, repeated actions or sequences.
20,404,0.620784486, prepositions and phrases indicating expectations or requirements.
20,1840,0.504820137, phrases and words related to charity and fundraising.
21,683,0.352875374," words and phrases related to high values, positions, or ranks."
21,629,0.74425161, words and phrases related to proximity and closeness.
21,434,0.421796193," instances of presenting choices or options, typically using colons or the word ""either."""
21,773,0.794246573, advertisement-related keywords and contextual phrases.
21,442,0.439993788, two-letter word segments containing the letter 'p'.
21,619,0.361759186, words and phrases indicating comparison or contrast.
21,341,0.369054711,process steps and action verbs related to cooking and performing activities.
21,1736,0.614096189,"words related to winning, losing, and competing."
21,1606,0.665135491, phrases related to small things.
21,541,0.379779948, emotionally charged descriptors of relationships and connections between people.
21,29,0.631380007,"verbs and nouns related to recording, logging, and sharing information."
21,1693,0.363944128," various activities or games with elements of collaboration, competition, or scoring."
21,1206,0.537461085, words and numbers related to shipping and delivery.
21,1718,0.409867511," words and phrases indicating relationships, connections, or alternatives."
21,1790,0.393590773," directional words, particularly related to upward movement."
21,1674,0.617384807, words associated with normalcy or regularity.
21,449,0.452086955," country and region names, with a focus on Irish and New Zealand references."
21,1289,0.732021881," words related to reading, books, and publications."
21,726,0.422197563, proper names and family relationship terms.
21,1178,0.615193714,"the preposition ""to"" and some related words in various contexts."
22,139,0.451719319," food, drinks, and culturally specific items."
22,88,0.557420293,words and phrases with a prefix or root meaning 'against'.
22,1145,0.370055298, words related to placement in space or position.
22,1886,0.357020514,words related to negative situations or expressions.
22,964,0.674183871, occurrences of the word 'have'.
22,1115,0.45257284, words related to water and its infiltration or contamination.
22,1114,0.623302206," words and phrases related to enjoyment, popularity, and fun."
22,1118,0.435204111,"specific numbers and sequences related to dates, years, locations and scores."
22,1194,0.370862523, words related to solid and firm objects or concepts.
22,1409,0.489397096,phrases related to being forced or compelled to do something.
22,101,0.388547968,words and phrases related to improvement or enhancement.
22,59,0.383154306," phrases related to pointing out, challenging, or confronting issues or individuals."
22,1212,0.700996386, verbs related to raising or lifting.
22,1439,0.550023595,words and phrases related to investing and risk.
22,67,0.392498069, words and phrases related to approximate amounts and distributions.
22,376,0.462712245,units of measurement and directions.
22,785,0.643182753," occurrences of the abbreviation ""AS"" and its variations."
22,301,0.48005553, expressions of recommendation or trust.
22,432,0.410350511, negative and unflattering descriptions or adjectives.
22,203,0.359568891," legal terms and concepts related to charges, guilt, and accusations."
23,1860,0.626644063,"comparisons, specifically phrases highlighting differences or contrasts."
23,140,0.656993573, words and phrases related to discovery and finding.
23,1768,0.397562505," phrases related to requests and responses, especially in the context of communication."
23,1427,0.866265211,the word 'natural' and related phrases.
23,497,0.429074016,expressions of personal experiences and emotions.
23,812,0.736527488,words and phrases related to exclusivity or making exceptions.
23,591,0.445443639,actions related to movement or going somewhere.
23,1550,0.527268965," transportation methods, primarily focusing on airborne and vehicle-related terms."
23,1306,0.382016353," words and phrases related to transitions, replacements, or augmentations."
23,111,0.47141758," words and phrases related to completion, progress, and data."
23,1792,0.649670771, gerunds or present participle verbs ending in 'ing'.
23,399,0.518786346, action verbs indicating a purpose or goal.
23,1434,0.574136684," Japanese and foreign language words, as well as partial names."
23,1462,0.395691261, single uppercase letters and their adjacent numeric values.
23,385,0.353907001, words and phrases related to demonstrating or practicing a skill or action.
23,765,0.360776514," instances of the word ""well"" and contractions ending in ""'s""."
23,1602,0.501292573, phrases related to fulfilling needs or meeting requirements.
23,1817,0.474850339,names of people and gene-editing technology terms.
23,1558,0.400782023," parts of words that emphasize numbers, counting, and accomplishments."
23,601,0.628510614,words related to being involved or engaged in an activity or process.
24,1958,0.436905434," phrases related to explanations, clarifications, and reflections."
24,471,0.425441655," words and phrases related to facing, interaction, and adherence to rules or reality."
24,1280,0.61838885, instances of refusal or unwillingness.
24,1904,0.469814221," phrases expressing uncertainty, doubt, or attempts."
24,1506,0.502937662,words related to restriction and exclusivity.
24,985,0.416138555, phrases related to limiting or restricting actions or elements.
24,1829,0.41929768,"numbers, often related to years or technical terms."
24,1363,0.486605126, numerical values and time-related words.
24,270,0.353253222, words and phrases related to being surrounded or spread amongst other elements.
24,1070,0.435526089,actions or processes related to clearing or cleaning.
24,1763,0.629066511, interruption or hesitation markers and informal speech elements.
24,1861,0.583869813,words and phrases related to binding or attaching things.
24,1570,0.662370857, ellipsis (...) or partial sentences in a text.
24,1255,0.389177164, words associated with colors and specific locations.
24,11,0.507672158, instances of signing and reading documents.
24,1883,0.579571327, acronyms or abbreviation combinations.
24,1703,0.384434186,"situations or circumstances in which something or someone is misplaced, lost, mistaken or missing."
24,1799,0.423097614," words describing something as unjust or illegal, including adverbs ending in 'ly'."
24,1397,0.456077135,verbs related to changing or altering something.
24,510,0.694564328,instances of the word 'hard' and words related to effort or intensity.
25,247,0.433668781, phrases and words related to replacements and alternatives.
25,1490,0.607050643,"words related to urban areas and activity, as well as words containing ""k""."
25,630,0.461317221," word patterns related to providing, availability, and having something."
25,404,0.412540105, words related to negation or refusal.
25,1379,0.38139061, occurrences of cooperation and diplomacy in political contexts.
25,1284,0.485099561,words and phrases related to political parties and organizations.
